"Name","csuoee__Course_Code__c","hed__Course_ID__c","hed__Account__r.hed__School_Code__c","hed__Description__c","hed__Extended_Description__c","lms_hed__LMS_Reference_Code__c","csuoee__Short_Description__c","csuoee__Banner_Surrogate_ID__c","csuoee__AUCC_Category__c","hed__Credit_Hours__c","csuoee__Credit_Hours_Max__c","csuoee__Guaranteed_Transfer__c","csuoee__Guaranteed_Transfer_Category__c","csuoee__Quality_Matters__c"
"GR 320: Cultural Geography","GR 320","GR 320","1472","","<p>Geographic analysis of cultural phenomena, elements emphasizing human-land relationships and spatial patterns of agriculture, cities, language, religion.</p>","GR-320","Geographic analysis of cultural phenomena, elements emphasizing human-land relationships and spatial patterns of agriculture, cities, language, religion.","7546.0","","3.0","","false","","false"
"GR 323: Remote Sensing","GR 323","GR 323","1787","","","GR-323","","3344.0","","0.0","3.0","false","","false"
"GR 331: Geography of Farming Systems","GR 331","GR 331","1787","","","GR-331","","11641.0","","3.0","","false","","false"
"GR 348: Biogeography","GR 348","GR 348","1787","","","GR-348","","11642.0","","3.0","","false","","false"
"GR 418: Development Geographies","GR 418","GR 418","1787","","","GR-418","","33624.0","","3.0","","false","","false"
"GR 420: Spatial Analysis with GIS","GR 420","GR 420","1787","","","GR-420","","4013.0","","0.0","4.0","false","","false"
"GR 425C: Topics: Physical Geography","GR 425C","GR 425C","1787","","","GR-425C","","34125.0","","1.0","3.0","false","","false"
"GR 440: Political Geography","GR 440","GR 440","1787","","","GR-440","","20370.0","","3.0","","false","","false"
"GR 503: Remote Sensing--Graduate","GR 503","GR 503","1787","","","GR-503","","3346.0","","0.0","4.0","false","","false"
"GR 592: Special Topics in Geography","GR 592","GR 592","1787","","","GR-592","","17182.0","","3.0","","false","","false"
"GRAD 480A1: Graduate School Preparation","GRAD 480A1","GRAD 480A1","1001","","","GRAD-480A1","","40544.0","","1.0","","false","","false"
"GRAD 592: Water Resources Seminar","GRAD 592","GRAD 592","1001","","","GRAD-592","","7552.0","","1.0","","false","","false"
"HDFS 160: Mentees/First Year Success I","HDFS 160","HDFS 160","1570","","","HDFS-160","","35723.0","","1.0","","false","","false"
"HDFS 170: Mentees/First Year Success II","HDFS 170","HDFS 170","1570","","","HDFS-170","","35724.0","","1.0","","false","","false"
"HDFS 201: Perspectives in Gerontology","HDFS 201","HDFS 201","1570","","<p>Multidisciplinary perspectives on a variety of issues in human aging; exploration of careers in gerontology; service-learning with older adults; emphasis on applied gerontology.</p><p>Course Learning Objectives:</p><ul><li>Recognize the interdisciplinary nature of gerontology.</li><li>Define basic concepts, controversies, and issues in the field of gerontology, both from academic and applied perspectives.</li><li>Identify career and internship opportunities in the field of gerontology.</li><li>Identify the political, economic, and international issues associated with aging.</li><li>Engage in service-learning with older adults in the community.</li></ul><p><a href=""https://www.kaltura.com/index.php/extwidget/preview/partner_id/2572061/uiconf_id/45897852/entry_id/0_n0ecuc13/embed/iframe? "">About HDFS 201 (4 min.)</a></p>","HDFS-201","Multidisciplinary perspectives on a variety of issues in human aging; exploration of careers in gerontology; service-learning with older adults; emphasis on applied gerontology.","13747.0","","3.0","","false","","false"
"HDFS 250: Intro to Research Methods","HDFS 250","HDFS 250","1570","","Introduction to research methodology relevant to human development and family studies including research designs, statistical significance, components and evaluation of empirical research articles, and ethical principles. Formulation of research questions and hypotheses.","HDFS-250","Introduction to research methodology relevant to human development and family studies including research designs, statistical significance, components and evaluation of empirical research articles, and ethical principles. Formulation of research questions and hypotheses.","38045.0","","3.0","","false","","false"
"HDFS 275: Foundational Helping Skills","HDFS 275","HDFS 275","1570","","Introduction to helping skills in healthcare and human service settings including strength-based techniques to support clients and opportunities and challenges related to the well-being of helping professionals. Exploration of ethical practices, including boundaries, scope of practice, and collaboration as well as the impact of culture, bias, and equity in working with individuals, couples, and families.","HDFS-275","Introduction to helping skills in healthcare and human service settings including strength-based techniques to support clients and opportunities and challenges related to the well-being of helping professionals. Exploration of ethical practices, including boundaries, scope of practice, and collaboration as well as the impact of culture, bias, and equity in working with individuals, couples, and families.","41482.0","","3.0","","false","","false"
"HDFS 286A: Practicum: Human Development","HDFS 286A","HDFS 286A","1570","","Career exploration and community placement opportunities to observe individuals/families at varying stages of the lifespan and apply knowledge gained from coursework in human development and family studies.<br /><div id=""content"" class=""page_content""><p>Upon successful completion of this course, students will be able to:</p><ol><li>Develop professional skills at a practicum site pertinent to lifespan interests.</li><li>Identify professional goals and assess personal strengths and challenges related to the practicum experience. </li><li>Explain ethical issues and professional ethical codes relevant to placement site. </li><li>Describe theoretical frameworks and contextual information relevant and sensitive to diverse populations at placement site.</li></ol></div>","HDFS-286A","Career exploration and community placement opportunities to observe individuals/families at varying stages of the lifespan and apply knowledge gained from coursework in human development and family studies.","43372.0","","3.0","","false","","false"
"HDFS 286B: Practicum: Early Childhood","HDFS 286B","HDFS 286B","1570","","Career exploration and community placement opportunities to observe children and families, and apply knowledge gained from coursework in human development and family studies.<br /><div id=""content"" class=""page_content""><p>Upon successful completion of this course, students will be able to:</p><ol><li>Develop professional skills at a practicum site pertinent to early childhood.</li><li>Identify professional goals and assess personal strengths and challenges related to the practicum experience. </li><li>Explain ethical issues and professional ethical codes relevant to placement site. </li><li>Describe theoretical frameworks and contextual information relevant and sensitive to diverse populations at placement site.</li></ol></div>","HDFS-286B","Career exploration and community placement opportunities to observe children and families, and apply knowledge gained from coursework in human development and family studies.","43373.0","","3.0","","false","","false"
"HDFS 286C: Practicum: Pre-Health","HDFS 286C","HDFS 286C","1570","","Career exploration and community placement opportunities to observe individuals/families at varying stages of the lifespan and apply knowledge gained from coursework in human development and family studies.<br /><div id=""content"" class=""page_content""><p>Upon successful completion of this course, students will be able to:</p><ol><li>Develop professional skills at a practicum site pertinent to pre-health professions.</li><li>Identify professional goals and assess personal strengths and challenges related to the practicum experience. </li><li>Explain ethical issues and professional ethical codes relevant to placement site. </li><li>Describe theoretical frameworks and contextual information relevant and sensitive to diverse populations at placement site.</li></ol></div>","HDFS-286C","Career exploration and community placement opportunities to observe individuals/families at varying stages of the lifespan and apply knowledge gained from coursework in human development and family studies.","43374.0","","3.0","","false","","false"
"HDFS 286D: Practicum Prevent/Intervention","HDFS 286D","HDFS 286D","1570","","Career exploration and community placement opportunities to observe individuals/families at varying stages of the lifespan and apply knowledge gained from coursework in human development and family studies.<br /><div id=""content"" class=""page_content""><p>Upon successful completion of this course, students will be able to:</p><ol><li>Develop professional skills at a practicum site pertinent to prevention and intervention sciences.</li><li>Identify professional goals and assess personal strengths and challenges related to the practicum experience. </li><li>Explain ethical issues and professional ethical codes relevant to placement site. </li><li>Describe theoretical frameworks and contextual information relevant and sensitive to diverse populations at placement site.</li></ol></div>","HDFS-286D","Career exploration and community placement opportunities to observe individuals/families at varying stages of the lifespan and apply knowledge gained from coursework in human development and family studies.","43375.0","","3.0","","false","","false"
"HDFS 286E: Practicum: Leadership Advocacy","HDFS 286E","HDFS 286E","1570","","Career exploration and community placement opportunities to observe individuals/families at varying stages of the lifespan and apply knowledge gained from coursework in human development and family studies.<br /><div id=""content"" class=""page_content""><p>Upon successful completion of this course, students will be able to:</p><ol><li>Develop professional skills at a practicum site pertinent to leadership and advocacy.</li><li>Identify professional goals and assess personal strengths and challenges related to the practicum experience. </li><li>Explain ethical issues and professional ethical codes relevant to placement site. </li><li>Describe theoretical frameworks and contextual information relevant and sensitive to diverse populations at placement site.</li></ol></div>","HDFS-286E","Career exploration and community placement opportunities to observe individuals/families at varying stages of the lifespan and apply knowledge gained from coursework in human development and family studies.","43376.0","","3.0","","false","","false"
"HDFS 360: Leadership Peer Mentoring I","HDFS 360","HDFS 360","1570","","","HDFS-360","","35725.0","","1.0","","false","","false"
"HDFS 370: Leadership Peer Mentoring II","HDFS 370","HDFS 370","1570","","","HDFS-370","","35726.0","","1.0","","false","","false"
"HDFS 372: Inclusive Mentoring","HDFS 372","HDFS 372","1570","","","HDFS-372","","44174.0","","2.0","4.0","false","","false"
"HDFS 477A: Prof. Prep: Local Internship","HDFS 477A","HDFS 477A","1570","","<p>Exploration of professionalism, workplace issues, leadership and communication skills, goal setting, self-management, and building a professional identity in person, writing, and online. Completion of steps to secure an internship for students seeking a local internship, selecting from a list of pre-approved internship sites within 30 miles of the CSU Fort Collins campus.</p>","HDFS-477A","Exploration of professionalism, workplace issues, leadership and communication skills, goal setting, self-management, and building a professional identity in person, writing, and online. Completion of steps to secure an internship for students seeking a local internship, selecting from a list of pre-approved internship sites within 30 miles of the CSU Fort Collins campus.","41484.0","","1.0","","false","","false"
"HDFS 477B: Prof Prep: Distance Internship","HDFS 477B","HDFS 477B","1570","","<p>Exploration of professionalism, workplace issues, leadership and communication skills, goal setting, self-management, and building a professional identity in person, writing, and online. Completion of steps to secure own internship site more than 30 miles outside of Fort Collins.</p>","HDFS-477B","Exploration of professionalism, workplace issues, leadership and communication skills, goal setting, self-management, and building a professional identity in person, writing, and online. Completion of steps to secure own internship site more than 30 miles outside of Fort Collins.","41485.0","","1.0","","false","","false"
"HDFS 478: HDFS Professional Development","HDFS 478","HDFS 478","1570","","<p>Course Description<br />This course prepares students to make the transition from being a college student to a professional. Students will explore professionalism, workplace issues, leadership and communication skills, goal setting, self-management, and building a professional identity in person, writing, and online.</p><p>Course Learning Objectives</p><ul><li>Explain applications of HDFS theory, concepts, and education to career goals and internship placement.</li><li>Describe professional ethics, apprpriate conduct, and effective workplace behaviors.</li><li>Justify appropriate actions and behaviors in the context of professional ethics, conduct, and presentation including social media, email, and other arenas of presentation.</li><li>Compare multiple points of view, including diverse and multicultural influences and perspectives in HDFS.</li><li>Create a professional identity through presenting self in career development skills including interviewing, resumes, and portfolios.</li></ul>","HDFS-478","Exploration of professionalism, workplace issues, leadership and communication skills, goal setting, self-management, and building a professional identity in person, writing, and online. Understand the skills and attributes required to become a successful HDFS professional.","25484.0","","1.0","","false","","false"
"HDFS 484: Supervised College Teaching","HDFS 484","HDFS 484","1570","","<p>Supervised College Teaching</p>","HDFS-484","Supervised College Teaching","7626.0","","1.0","3.0","false","","false"
"HDFS 497B: Grp Stdy:Ugrad Outreach/Leader","HDFS 497B","HDFS 497B","1570","","","HDFS-497B","","5065.0","","1.0","3.0","false","","false"
"HDFS 497C: Grp Stdy: Stdnt Rspct/Well Ed","HDFS 497C","HDFS 497C","1570","","","HDFS-497C","","5066.0","","1.0","3.0","false","","false"
"HDFS 497G: Grp Stdy: Human Development","HDFS 497G","HDFS 497G","1570","","","HDFS-497G","","5070.0","","1.0","3.0","false","","false"
"HDFS 498A: Research: Human Development","HDFS 498A","HDFS 498A","1570","","<table id=""table1"" class=""ui-widget-content resizable KeyTable draggable footable footable-loaded default grid"" tabindex=""0"" role=""grid"" summary=""Search results 1 results found."" aria-live=""assertive"" aria-expanded=""true""><tbody><tr class=""odd add-row-hover selected"" data-id=""7638""><td class=""readonly add-row-selected"" style=""width: 10%;"" data-id=""7638"" data-property=""courseNumber""> </td><td class=""add-row-selected selected"" style=""width: 30%;"" tabindex=""0"" data-id=""7638"" data-property=""courseTitle""><a class=""course-details-link"" tabindex=""-1"" href=""https://bannerxe.is.colostate.edu/StudentRegistrationSsb/ssb/courseSearch/courseSearch#"" aria-haspopup=""true"" data-endpoint=""/StudentRegistrationSsb/ssb/courseSearchResults/getCourseCatalogDetails"" data-attributes=""202410,HDFS,498A"">Research: Human Development</a></td></tr></tbody></table>","HDFS-498A","Research: Human Development","7638.0","","1.0","3.0","false","","false"
"HDFS 498B: Research: Family Studies","HDFS 498B","HDFS 498B","1570","","","HDFS-498B","","7639.0","","1.0","3.0","false","","false"
"HDFS 500: Issues-Human Devel&Family Stu","HDFS 500","HDFS 500","1570","","","HDFS-500","","7641.0","","0.0","3.0","false","","false"
"HDFS 505: Human Devel for Helping Prof","HDFS 505","HDFS 505","1570","","<p>An advanced overview of lifespan development, focusing on wellness promotion and developmental influences on case conceptualization and treatment.</p><p>Course Learning Objectives</p><p>(These are to communicate observable and measurable student learning outcomes that must be included in every offering of the course, every term, by every instructor, in every format.)</p><ul><li>Understand, articulate, compare, and contrast theories of individual and family development, and transition across the lifespan.</li><li>Understand, articulate, compare, and contrast theories of learning and personality development.</li><li>Conceptualize individuals wihin human development and bioecological contexts, theories, and frameworks. Consider relevant clinical implications.</li><li>Develop a deeper understanding of, and sensitivity to, individual, biological, neurological, physiological, systemic, spiritual, and environmental factors that affect human development, functioning, and behavior.</li><li>Identify effects of life-changing events such as crisis, disasters, and other trauma-causing events on diverse individuals across the lifespan.</li><li>Develop a general framework for honoring differing abilities and identify strategies for differentiated intervention.</li><li>Understand and describe ethical and culturally relevant strategies for promoting resilience and optimum development and wellness across the lifespan.</li></ul><p>This course has exams that require the use of electronic proctoring through ProctorU. Please see <a href=""https://www.proctoru.com/students/"">https://www.proctoru.com/students/</a> for detailed instructions. The cost for online proctoring through ProctorU is included in the cost of the course for students enrolled in CSU Online course sections. Students are responsible for purchasing any hardware that may be needed for exams taken with ProctorU, including a webcam and microphone, and for scheduling proctoring appointments at least three days in advance (otherwise, a late fee is charged, which is the student’s responsibility). For students requiring accommodations, please contact <a href=""http://www.rds.colostate.edu/"">http://www.rds.colostate.edu/</a>.</p>","HDFS-505","An advanced overview of lifespan development, focusing on wellness promotion and developmental influences on case conceptualization and treatment.","12442.0","","3.0","","false","","false"
"HDFS 515: Family Syst & Psychopathology","HDFS 515","HDFS 515","1570","","","HDFS-515","","28661.0","","3.0","","false","","false"
"HDFS 520: Family Therapy: Treatment Plan","HDFS 520","HDFS 520","1570","","","HDFS-520","","10584.0","","0.0","3.0","false","","false"
"HDFS 521: Family Therapy: Common Factors","HDFS 521","HDFS 521","1570","","","HDFS-521","","10585.0","","0.0","3.0","false","","false"
"HDFS 545: Program Eval Methods Stats","HDFS 545","HDFS 545","1570","","<p><span style=""color: #333333; font-family: Arial, Helvetica, sans-serif;""><span style=""font-size: 14px;"">Introduction to program evaluation methods, empirical research, data analysis, and interpretation in prevention science.</span></span></p>","HDFS-545","Introduction to program evaluation methods, empirical research, data analysis, and interpretation in prevention science.","28426.0","","3.0","","false","","false"
"HDFS 549: Research Methods I","HDFS 549","HDFS 549","1570","","","HDFS-549","","4477.0","","3.0","","false","","false"
"HDFS 600: Professional Dev Seminar","HDFS 600","HDFS 600","1570","","","HDFS-600","","35006.0","","1.0","","false","","false"
"HDFS 620: Family Therapy: Addictions","HDFS 620","HDFS 620","1570","","","HDFS-620","","10586.0","","0.0","3.0","false","","false"
"HDFS 621: Fam Therapy: Topics-Sexuality","HDFS 621","HDFS 621","1570","","","HDFS-621","","10587.0","","0.0","3.0","false","","false"
"HDFS 676: Professional Skills Developmnt","HDFS 676","HDFS 676","1570","","","HDFS-676","","7661.0","","3.0","","false","","false"
"HDFS 677: Ethical and Legal Issues","HDFS 677","HDFS 677","1570","","","HDFS-677","","7662.0","","3.0","","false","","false"
"HDFS 684: Supervised College Teaching","HDFS 684","HDFS 684","1570","","","HDFS-684","","7664.0","","1.0","18.0","false","","false"
"HDFS 687A: Internship: Human Development","HDFS 687A","HDFS 687A","1570","","","HDFS-687A","","7671.0","","1.0","18.0","false","","false"
"HDFS 687C: Intern:Marriage&Family Therapy","HDFS 687C","HDFS 687C","1570","","","HDFS-687C","","7673.0","","1.0","18.0","false","","false"
"HDFS 692A: Fmly Issues:Intimcy/Hum Sexlty","HDFS 692A","HDFS 692A","1570","","","HDFS-692A","","5030.0","","3.0","","false","","false"
"HDFS 692B: Family Issues: Parenting","HDFS 692B","HDFS 692B","1570","","","HDFS-692B","","5031.0","","3.0","","false","","false"
"HDFS 693: Capstone Seminar","HDFS 693","HDFS 693","1570","","","HDFS-693","","40481.0","","3.0","","false","","false"
"HDFS 695A: Indep Study: Human Development","HDFS 695A","HDFS 695A","1570","","","HDFS-695A","","7676.0","","1.0","18.0","false","","false"
"HDFS 698A: Research: Human Development","HDFS 698A","HDFS 698A","1570","","","HDFS-698A","","7680.0","","1.0","3.0","false","","false"
"HDFS 698B: Research: Family Studies","HDFS 698B","HDFS 698B","1570","","","HDFS-698B","","7681.0","","1.0","3.0","false","","false"
"HDFS 699: Thesis","HDFS 699","HDFS 699","1570","","","HDFS-699","","7682.0","","1.0","18.0","false","","false"
"HDFS 710: Theories Applied Devel Science","HDFS 710","HDFS 710","1570","","","HDFS-710","","604.0","","3.0","","false","","false"
"HDFS 799: Dissertation","HDFS 799","HDFS 799","1570","","","HDFS-799","","7683.0","","1.0","18.0","false","","false"
"HORT 180A2: The Importance of Plants","HORT 180A2","HORT 180A2","1173","","","HORT-180A2","","36705.0","","3.0","","false","","false"
"HORT 180A3: LDC Pathways","HORT 180A3","HORT 180A3","1173","","","HORT-180A3","","41986.0","","1.0","","false","","false"
"HORT 192: Orientation Hort and LandArch","HORT 192","HORT 192","1173","","","HORT-192","","29502.0","","1.0","","false","","false"
"HORT 221: Landscape Plants","HORT 221","HORT 221","1173","","","HORT-221","","7557.0","","0.0","4.0","false","","false"
"HORT 231: Landscape Graphics Studio","HORT 231","HORT 231","1173","","","HORT-231","","9308.0","","0.0","4.0","false","","false"
"HORT 232: Principles of Landscape Design","HORT 232","HORT 232","1173","","","HORT-232","","9310.0","","0.0","4.0","false","","false"
"HORT 260: Plant Propagation","HORT 260","HORT 260","1173","","<p>Theories, principles, and techniques of sexual and asexual propagation.<br />Must register for lecture and laboratory.</p>","HORT-260","Theories, principles, and techniques of sexual and asexual propagation.","7558.0","","0.0","4.0","false","","false"
"HORT 270: Fundamentals Hortcltrl Therapy","HORT 270","HORT 270","1173","","<p>Theory and practice of horticultural therapy in health care and human services; applications, settings, and professional career topics.</p>","HORT-270","Theory and practice of horticultural therapy in health care and human services; applications, settings, and professional career topics.","1431.0","","2.0","","false","","false"
"HORT 321: Nursery Production & Managemnt","HORT 321","HORT 321","1173","","","HORT-321","","7560.0","","0.0","4.0","false","","false"
"HORT 325: Native Plants in the Landscape","HORT 325","HORT 325","1173","","<p>Students in this course will evaluate the diversity of native annuals, perennials, ornamental grasses, and woody plants suitable for use in landscapes in North America. Selection and maintenance characteristics will be discussed. The plants covered in this course tend to be less well known but are available in the industry. Students will learn landscape design principles, the process of planting design, and the preparation of planting plans.</p><p>LEARNING OBJECTIVES</p><ul><li>Students in this course will evaluate the diversity of native annuals, perennials, ornamental grasses, and woody plants suitable for use in landscapes in North America.</li><li>Students will learn to build a portfolio of ideal native plants to use in landscapes.</li><li>Students will gain knowledge in environmental site analysis, landscape design, and planting plans.</li></ul>","HORT-325","Students in this course will evaluate the diversity of native annuals, perennials, ornamental grasses, and woody plants suitable for use in landscapes in North America. Selection and maintenance characteristics will be discussed","34663.0","","3.0","","false","","false"
"HORT 341: Turfgrass Management","HORT 341","HORT 341","1173","","","HORT-341","","7566.0","","0.0","3.0","false","","false"
"HORT 344: Organic Greenhouse Production","HORT 344","HORT 344","1173","","","HORT-344","","7666.0","","1.0","","false","","false"
"HORT 347: Hydroponics","HORT 347","HORT 347","1173","","<p>Hydroponics is a technological solution to the nutritional problems faced in plant production. The main objective of hydroponics is to supply the ideal nutritional environment for optimum plant performance, further optimized by controlling the climate. This course provides students with an in-depth knowledge of hydroponic systems and the technologies application in a variety of horticulture crop species (e.g., cannabis, cucumber, lettuce, pepper, and tomato).</p>","HORT-347","Hydroponics, hydroponic systems, and hydroponic process from concept to application.","27303.0","","3.0","","false","","false"
"HORT 368: Landscape Irrig & Watr Conserv","HORT 368","HORT 368","1173","","","HORT-368","","7568.0","","0.0","3.0","false","","false"
"HORT 380A4: Introduction to Research","HORT 380A4","HORT 380A4","1173","","","HORT-380A4","","37404.0","","2.0","","false","","false"
"HORT 384: Supervised College Teaching","HORT 384","HORT 384","1173","","","HORT-384","","7572.0","","1.0","5.0","false","","false"
"HORT 410: Postharvest Biology and Tech","HORT 410","HORT 410","1173","","<p>Storage and quality maintenance of harvested fruits and vegetables. Credit not allowed for both HORT 410 and HORT 481A1.</p>","HORT-410","Storage and quality maintenance of harvested fruits and vegetables. Credit not allowed for both HORT 410 and HORT 481A1","17982.0","","3.0","","false","","false"
"HORT 417: Indoor Crop Prod Physiology","HORT 417","HORT 417","1173","","","HORT-417","","29317.0","","0.0","3.0","false","","false"
"HORT 421: Horticultrl Therapy Techniques","HORT 421","HORT 421","1173","","<p>This course explores how and why horticultural therapy is iffective across a spectrum of programs and populations, with an emphasis on physical, cognitive, and psychosocial development. It describes and demonstrates techniques to communicate effectively, lead groups, and encourage constructive change in HT program participants.</p>","HORT-421","Students practice methods for adapting tools, environments and tasks to enable clients in horticultural therapy programs to fully participate in gardening tasks or activities.","1432.0","","2.0","","false","","false"
"HORT 423: Horticult Therapy Programming","HORT 423","HORT 423","1173","","<p>This course provides models of a wide array of horticultural therapy programming. The course includes the processes and techniques to plan, implement, document, and evaluate treatment programs for individuals and groups.</p>","HORT-423","The emphasis is on the process and practice of HT in various types of settings, as well as the skills to plan effective treatment sessions utilizing horticulture.","4308.0","","2.0","","false","","false"
"HORT 424: Topics in Organic Agriculture","HORT 424","HORT 424","1173","","Examination of issues specific to organic food production systems and marketing.<br />Credit not allowed for both HORT 424 and SOCR 424.","HORT-424","Examination of issues specific to organic food production systems and marketing.","7698.0","","3.0","","false","","false"
"HORT 425: Horticultural Therapy Mgmt","HORT 425","HORT 425","1173","","<p>This course prepares students to develop, manage and evaluate horticultural therapy (HT) programs and sites. Considerations and solutions for the design of indoor and outdoor therapeutic HT spaces are discussed.</p>","HORT-425","Also included are private contracting business models, marketing, and strategies to obtain funding and resources for program support. Comprehensive program proposals are used to encompass all the major elements of program and site design, implementation and management.","1433.0","","0.0","3.0","false","","false"
"HORT 451: Vegetable Crop Management","HORT 451","HORT 451","1173","","","HORT-451","","26482.0","","0.0","3.0","false","","false"
"HORT 453: Principles Fruit Crop Mgmt","HORT 453","HORT 453","1173","","<p>Understanding the fundamentals of fruit tree biology is essential to making sound orchard management and business decisions in the tree fruit industry. Explore the basics of tree and small fruit production, including site, cultivar and rootstock selection, cropping trends and cultural practices such as planting, pruning, training, irrigation, nutrition, harvesting, and postharvest handling and technology of specific temperate fruit crops.<br />Credit not allowed for both HORT 450C and HORT 453. Credit not allowed for both HORT 450D and HORT 453.</p>","HORT-453","Understanding the fundamentals of fruit tree biology is essential to making sound orchard management and business decisions in the tree fruit industry.","24381.0","","0.0","3.0","false","","false"
"HORT 479: Profssnl Landscape Practices","HORT 479","HORT 479","1173","","","HORT-479","","3694.0","","2.0","","false","","false"
"HORT 486A: Floriculture Practicum","HORT 486A","HORT 486A","1173","","","HORT-486A","","949.0","","2.0","","false","","false"
"HORT 486B: Practicum: General","HORT 486B","HORT 486B","1173","","","HORT-486B","","954.0","","1.0","6.0","false","","false"
"HORT 487: Internship","HORT 487","HORT 487","1173","","<span style=""color: #000000; font-family: 'Segoe UI', 'Segoe UI Web (West European)', 'Segoe UI', -apple-system, BlinkMacSystemFont, Roboto, 'Helvetica Neue', sans-serif; font-size: 15px; font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; font-weight: 400; letter-spacing: normal; orphans: 2; text-align: start; text-indent: 0px; text-transform: none; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; white-space: normal; background-color: #ffffff; text-decoration-thickness: initial; text-decoration-style: initial; text-decoration-color: initial; display: inline !important; float: none;"">The purpose of doing an internship is to give the student an opportunity to gain practical experience from businesses or agencies in the various areas of the Horticulture industry. An internship should complement the student's academic course of study.</span>","HORT-487","The purpose of doing an internship is to give the student an opportunity to gain practical experience from businesses or agencies in the various areas of the Horticulture industry. An internship should complement the student's academic course of study.","7590.0","","1.0","18.0","false","","false"
"HORT 495: Independent Study","HORT 495","HORT 495","1173","","","HORT-495","","7591.0","","1.0","18.0","false","","false"
"HORT 496: Group Study","HORT 496","HORT 496","1173","","","HORT-496","","7592.0","","1.0","18.0","false","","false"
"HORT 500: Graduate Student Prof. Dev.","HORT 500","HORT 500","1173","","","HORT-500","","36066.0","","3.0","","false","","false"
"HORT 521: Horticulture and Human Health","HORT 521","HORT 521","1173","","<p>Impact of principles and practices of horticulture on human health and well-being. Graduate standing. Bachelor's degree required.</p>","HORT-521","Impact of principles and practices of horticulture on human health and well-being. Graduate standing. Bachelor's degree required.","19803.0","","3.0","","false","","false"
"HORT 522: Horticulture and Health Issues","HORT 522","HORT 522","1173","","<p>Horticulture is an essential instrument of public health, but often professionals in these fields view themselves as opponents. Examine issues arising in the production of foods for human consumption that human health professionals often encounter. Overcome the barriers that divide horticulture and human health professionals.<br /> Graduate standing.</p>","HORT-522","Horticulture is an essential instrument of public health, but often professionals in these fields view themselves as opponents. Examine issues arising in the production of foods for human consumption that human health professionals often encounter. Overcome the barriers that divide horticulture and human health professionals. Graduate standing.","19924.0","","3.0","","false","","false"
"HORT 571: Soil-Plant-Water Relations","HORT 571","HORT 571","1173","","","HORT-571","","7593.0","","3.0","","false","","false"
"HORT 576: Adv Envr Plant Stress Physio","HORT 576","HORT 576","1173","","<p>Advanced aspects of plant growth, development and physiology, major sources of stress in plants, global issues in environment and plant stress.</p>","HORT-576","Advanced aspects of plant growth, development and physiology, major sources of stress in plants, global issues in environment and plant stress.","629.0","","0.0","4.0","false","","false"
"HORT 578: Phytochemicals and Probiotics","HORT 578","HORT 578","1173","","<p>A survey of phytochemistry and probiotic organisms, including their synthesis in plants, prevalence and sources in the diet, their use for health improvement, and molecular mechanisms by which they modulate intracellular signal transduction and protein expression in chronic disease states such as cancer and obesity. The course provides a current review of how gut microbes affect human metabolism and health, and how plant biology and metabolism effects phytochemical content of foods. Specific topics include the role of bioactive peptides, phenolics, terpenes, alkaloids, and organosulfurs in human health, and discuss issues of food waste and role of plant breeding and biotechnology. Course activities include lecture, discussion, analysis of case studies, and exercises to develop new dietary products based on phytochemicals and gut microorganisms.</p><p><strong>Course Learning Objectives</strong><br />1. Define specific content knowledge and vocabulary in the major areas encompassed by phytochemistry and probiotics and health.<br />2. Explain the mechanisms through which plants synthesize and regulate dietary phytochemicals.<br />3. Analyze and interpret the mechanisms through which certain phytochemicals modulate receptor activation, intracellular signal transduction, and gene and protein expression.<br />4. Explain the interactions between dietary phytochemicals and gut microbes in relation to gut and systemic inflammation.<br />5. Interpret and summarize the influence of phytochemicals and gut microbes on disease states such as cancer.<br />6. Evaluate case studies involving phytochemicals and probiotics for their effects on human health.<br />7. Design new products involving phytochemicals and probiotics for their effects on human health.<br />8. Develop critical thinking, analytical, and writing skills in phytochemicals, probiotics, and human health.</p>","HORT-578","The course provides a current review of how gut microbes affect human metabolism and health, and how plant biology and metabolism effects phytochemical content of foods.","16764.0","","0.0","3.0","false","","false"
"HORT 580A5: Microbial Risk Analysis of Ag","HORT 580A5","HORT 580A5","1173","","<p>Connect with the food industry from farm to table looking to understand the risks of microbial food contamination under different farming environments. Focus on the animal - ag interface connecting horticulture crop production, and food processing with animal operations.</p>","HORT-580A5","Connect with the food industry from farm to table looking to understand the risks of microbial food contamination under different farming environments. Focus on the animal - ag interface connecting horticulture crop production, and food processing with animal operations.","39018.0","","2.0","","false","","false"
"HORT 580A6: Plant Sciences--Applied Stats","HORT 580A6","HORT 580A6","1173","","","HORT-580A6","","41987.0","","2.0","","false","","false"
"HORT 581A5: Nutritional Improvement Food","HORT 581A5","HORT 581A5","1173","","<p>Explore concepts in nutrition, crop genetics/genomics, and biochemistry relevant to biofortification. Examine the role of key vitamins, minerals, and other nutrients in nutrition and health; methods of biofortification, and recent progress in crop biofortification, focusing on major staple crops and essential nutrients.</p>","HORT-581A5","Explore concepts in nutrition, crop genetics/genomics, and biochemistry relevant to biofortification. Examine the role of key vitamins, minerals, and other nutrients in nutrition and health; methods of biofortification, and recent progress in crop biofortification, focusing on major staple crops and essential nutrients.","40400.0","","3.0","","false","","false"
