"hed__School_Code__c","Name","Parent.hed__School_Code__c","csuoee__Type__c","csuoee__Program_Friendly_Name__c","csuoee__Program_Level__c","csuoee__Program_Cost__c","csuoee__Fall_Application_Deadline__c","csuoee__Spring_Application_Deadline__c","csuoee__Summer_Application_Deadline__c","csuoee__Unit_Type__c"
"","Applied Positive Psychology","NS","Certificate","Applied Positive Psychology","GR","9240.0","","","","Credit"
"ABIM-DD-MAI","MAI Agbiz & Food Innovatn Mgmt","1172","Degree","Agribusiness and Food Innovation Management","GR","27580.0","","","","Credit"
"HORT-HHHZ-MS","Horticulture and Human Health Specialization","AG","Degree","Horticulture and Human Health Specialization","GR","22190.0","8/1","1/1","5/1","Credit"
"ENGR-ASEZ","Aerospace Engineering (M.E.)","EG","Degree","Aerospace Engineering Specialization","GR","28920.0","","","","Credit"
"AEGF-CT","Aerospace Engineering Certificate","EG","Certificate","Aerospace Engineering","GR","8676.0","","","","Credit"
"AMNF-CT","Advanced Manufacturing","EG","Certificate","Advanced Manufacturing","GR","8676.0","","","","Credit"
"ENGR-AMFZ-ME","ME Engineering/AMFZ","1301","Degree","Advanced Manufacturing Specialization","GR","28920.0","","","","Credit"
"HAIF-DD-CT","CT Soc Aspcts Humn-Ani Intrctn","1586","Certificate","Human-Animal Interactions","GR","6525.0","","","","Credit"
"","Reading and Writing for Communication - Spanish","","Other","Reading and Writing for Communication - Spanish","NC","","","","","Noncredit"
"","Communication for Science and Engineering Professionals","","","Communication for Science and Engineering Professi","NC","","","","","Noncredit"
"","Native Plants in the Landscape","","","Native Plants in the Landscape","NC","","","","","Noncredit"
"","Principles of Human Physiology","","","Principles of Human Physiology","NC","","","","","Noncredit"
"","Sales Training","","","Sales Training","NC","","","","","Noncredit"
"UAGF-DD-CT","CT Urban Agriculture","1173","Certificate","Urban Agriculture","GR","5616.0","","","","Credit"
"","Biomedical Engineering Webinar","","","","","","","","",""
"PBAF-DD-CT","CT Public Policy Analysis","1782","Certificate","Public Policy Analysis","GR","7032.0","","","","Credit"
"","Food Allergy Awareness Training","","Other","","NC","","","","","Noncredit"
"BIAG-PMGZ-MS","Pest Management (M.S.)","1177","Degree","Pest Management","GR","","","","","Credit"
"GSCF-DD-CT","CT Global Supply Chain Management","1275","Certificate","Global Supply Chain Management","GR","","","","","Credit"
"BUSA-FINZ-BS","BS Business Administration/Finance","1272","","","UG","","","","",""
"ZOOL-BS","BS Zoology","1878","","","UG","","","","",""
"EXPL","Exploratory Studies","1001","","","UG","","","","",""
"USBU","Exploratory Studies: Business Interest","1001","","","UG","","","","",""
"BUSA-ACCZ-BS","BS Business Admin/ACCZ","1201","","","UG","","","","",""
"IARD-BS","Interior Architecture and Design","1574","","","UG","","","","",""
"DSCI-STSZ-BS","BS Data Science/Statistics","1801","","","UG","","","","",""
"FWCB-WDBZ-BS","BS Fish, Wildlife, and Conservation Biology/Wildlife Biology","1474","","","UG","","","","",""
"CPSC-CPSZ-BS","BS Computer Science/Computer Science","1873","","","UG","","","","",""
"MECH-BS","BS Mechanical Engineering","1374","","","UG","","","","",""
"CPSC-MS","MS Computer Science","1873","","","GR","","","","",""
"ECOL-PHD","PhD Ecology","1021","","","GR","","","","",""
"CTED-GR","Continuing Education - Graduate","1040","","","GR","","","","",""
"ECSS-BS","BS Ecosystem Science and Sustainability","1476","","","UG","","","","",""
"HAES-HPRZ-BS","BS Health and Exercise Sci/Health Promotion","1582","","","UG","","","","",""
"CTM0","Pre-Construction Management","1584","","","UG","","","","",""
"BIOM-APHZ-BS","BS Biomedical Sciences/APHZ","1680","","","UG","","","","",""
"ANIM-BS","BS Animal Science","1171","","","UG","","","","",""
"SOCI-DGSZ-BA","BA Sociology/General Sociology","1784","","","UG","","","","",""
"PSYC-GPSZ-BS","BS Psychology/General Psychology","1876","","","UG","","","","",""
"ENVE-BS","BS Environmental Engineering","1372","","","UG","","","","",""
"CTED-UG","Continuing Education - Undergraduate","1040","","","UG","","","","",""
"MECH-BMEM-BS","BS Biomedical Engineering and BS Mechanical Engineering","1301","","","UG","","","","",""
"HSMG-BS","Hospitality Management","1571","","","UG","","","","",""
"ENGL-ENEZ-BA","BA English/ENEZ","1773","","","UG","","","","",""
"POLS-BA","BA Political Science","1782","","","UG","","","","",""
"CBEG-BS","BS Chemical & Biological Engineering","1370","","","UG","","","","",""
"N2IE-SI","PLACE Academic English","1024","","","SI","","","","",""
"BLSC-BLSZ-BS","BS Biological Science/Biological Science","1878","","","UG","","","","",""
"HORT-MS","MS Horticulture","1173","","","GR","","","","",""
"RECO-BS","BS Restoration Ecology","1472","","","UG","","","","",""
"CIVE-MS","MS Civil Engineering","1372","","","GR","","","","",""
"HORT-CEHZ-BS","BS Horticulture/Controlled Environment Horticulture","1173","","","UG","","","","",""
"ENGL-LITZ-MA","MA English/LITZ","1773","","","GR","","","","",""
"PSYC-PHD","PhD Psychology","1876","","","GR","","","","",""
"ARTM-GRDZ-BF","BFA Art/Graphic Design","1770","","","UG","","","","",""
"ARTI-ARTZ-BA","BA Art/ARTZ","1770","","","UG","","","","",""
"HDNR-BS","BS Human Dimensions of Natural Resources","1480","","","UG","","","","",""
"FWCB-CNVZ-BS","BS Fish, Wildlife, and Conservation Biology/Conservation Biology","1474","","","UG","","","","",""
"DANC-BFA","BFA Dance","1778","","","UG","","","","",""
"TOXC-MS","MS Toxicology","1681","","","GR","","","","",""
"BUSA-OIMZ-BS","Business Administration/Organization & Innovation Management","1275","","","UG","","","","",""
"APAM-PDVZ-BS","BS Apparel and Merchandising/Product Development","1574","","","UG","","","","",""
"FCST-GR","Faculty-Staff/Graduate","1001","","","GR","","","","",""
"EXAD","Exploratory Studies: Arts, Humanities, and Design","1001","","","UG","","","","",""
"PBPA-DZ-MPPA","MPPA Public Policy and Administration/Public Policy","1782","","","","","","","",""
"MUSC-MUEZ-BM","Music/Music Education","1778","","","UG","","","","",""
"CHEM-BS","BS Chemistry","1872","","","UG","","","","",""
"PSYC-CCPZ-BS","BS Psychology/Clinical/Counseling Psychology","1876","","","UG","","","","",""
"PHIL-PSAZ-BA","BA Philosophy/Philosophy, Science, and Technology","1781","","","UG","","","","",""
"ARTI-IVSZ-BA","BA Art/Integrated Visual Studies","1770","","","UG","","","","",""
"HAES-BS","BS Health and Exercise Science","1582","","","UG","","","","",""
"CTMG-BS","BS Construction Management","1584","","","UG","","","","",""
"LDAR-BS","BS Landscape Architecture","1173","","","UG","","","","",""
"HAES-SPMZ-BS","BS Health and Exercise Science/Sports Medicine","1582","","","UG","","","","",""
"HIST-GENZ-BA","BA History/General History","1776","","","UG","","","","",""
"HDFS-PHPZ-BS","BS Human Development and Family Studies/Pre-Health Professions","1570","","","UG","","","","",""
"APAM-ADAZ-BS","Apparel & Merchandising/Apparel Design and Production","1574","","","UG","","","","",""
"NRTM-NRTZ-BS","BS Natural Resource Tourism/Natural Resource Tourism","1480","","","UG","","","","",""
"STAT-BS","BS Statistics","1877","","","UG","","","","",""
"BUSA-MKTZ-BS","BS Business Admin/MKTZ","1201","","","UG","","","","",""
"MECH-PHD","PhD Mechanical Engineering","1374","","","GR","","","","",""
"JAMC-BA","BA Journalism and Media Communication","1785","","","UG","","","","",""
"FWCB-FASZ-BS","BS Fish, Wildlife, and Conservation Biology/Fisheries and Aquatic Sciences","1474","","","UG","","","","",""
"CPSC-PHD","PhD Computer Science","1873","","","GR","","","","",""
"BUSA-BS","BS Business Administration","1201","","","UG","","","","",""
"MATH-PHD","PhD Mathematics","1874","","","GR","","","","",""
"SOWK-BSW","BSW Social Work","1586","Degree","Bachelor of Social Work","UG","","","","",""
"HIST-SSTZ-BA","BA History/Social Studies Teaching","1776","","","UG","","","","",""
"CIVE-BS","BS Civil Engineering","1372","","","UG","","","","",""
"EXOM","Exploratory Studies: Organization, Management, and Enterprise","1001","","","UG","","","","",""
"MUSC-PERZ-BM","BM Music/Performance","1778","","","UG","","","","",""
"HDFS-HDEZ-BS","BS Human Dev & Fam Stdies/HDEZ","1570","","","UG","","","","",""
"IAD0","Pre-Interior Architecture and Design","1574","","","UG","","","","",""
"EQSC-BS","BS Equine Science","1171","","","UG","","","","",""
"SSAS-UG","Semester at Sea","1073","","","UG","","","","",""
"MUSI-BA","BA Music","1778","","","UG","","","","",""
"GEOL-HYDZ-BS","BS Geology/Hydrology","1482","","","UG","","","","",""
"CPSC-NSCZ-BS","BS Computer Science/Networks and Security","1873","","","UG","","","","",""
"BCHM-BS","Biochemistry","1870","","","UG","","","","",""
"MECH-ACEZ-BS","BS Mechanical Engineering/Aerospace Engineering","1374","","","UG","","","","",""
"ANTH-BA","BA Anthropology","1787","","","UG","","","","",""
"CNLR-MCL","MCL Conservation Leadership","1480","","","GR","","","","",""
"CPSC-SEGZ-BS","BS Computer Science/SEGZ","1873","","","UG","","","","",""
"BIOM-EPHZ-BS","BS Biomedical Sciences/EPHZ","1680","","","UG","","","","",""
"INST-LTSZ-BA","BA International Studies/Latin American Studies","1701","","","UG","","","","",""
"NERO-CMNZ-BS","BS Neuroscience/Cell and Molecular Neuroscience","1680","","","UG","","","","",""
"MICR-PHD","PhD Microbiology","1682","","","GR","","","","",""
"MUSC-MM","MM Music","1778","","","GR","","","","",""
"ELEG-ASPZ-BS","BS Electrical Engineering/Aerospace","1373","","","UG","","","","",""
"SOCI-ENSZ-BA","BA Sociology/Environmental Sociology","1784","","","UG","","","","",""
"THTR-PRFZ-BA","BA Theatre/Performance","1778","","","UG","","","","",""
"USCS","Exploratory Studies: Information Technology Interest","1001","","","UG","","","","",""
"POLS-ULPZ-BA","BA Political Science/U.S. Government, Law and Policy","1782","","","UG","","","","",""
"CPSC-BS","Computer Science","1873","","","UG","","","","",""
"ARTM-DRAZ-BF","BFA Art/Drawing","1770","","","UG","","","","",""
"ENGL-CRWZ-BA","BA English/Creative Writing","1773","","","UG","","","","",""
"ANTH-CLTZ-BA","BA Anthropology/Cultural Anthropology","1787","","","UG","","","","",""
"ENHR-LDAZ-BS","BS Environmental Horticulture/Landscape Design and Contracting","1173","","","UG","","","","",""
"SOCI-CRCZ-BA","BA Sociology/Criminology and Criminal Justice","1784","","","UG","","","","",""
"HDFS-PISZ-BS","BS Human Development and Family Studies/Prevention and Intervention Sciences","1570","","","UG","","","","",""
"CSPH-MA","Colorado School of Public Health","1001","","","GZ","","","","",""
"CMIS-MCIS","MCIS Master of Computer Information Systems","1277","","","GR","","","","",""
"ARTM-FIBZ-BF","BFA Art/Fibers","1770","","","UG","","","","",""
"DNCE-BA","BA Dance","1778","","","UG","","","","",""
"EXLA","Exploratory Studies: Land, Plant, and Animal Sciences","1001","","","UG","","","","",""
"ELEG-ELEZ-BS","BS Electrical Engineering/Electrical Engineering","1373","","","UG","","","","",""
"CBEG-BMEC-BS","BS Biomedical Engineering and BS Chemical and Biological Engineering","1301","","","UG","","","","",""
"BUSA-MINZ-BS","BS Business Admin/MINZ","1201","","","UG","","","","",""
"NRMG-BS","BS Natural Resources Management","1472","","","UG","","","","",""
"PATH-PHD","PhD Pathology","1682","","","GR","","","","",""
"MICR-MS","MS Microbiology","1682","","","GR","","","","",""
"USEG","Exploratory Studies: Engineering Interest","1001","","","UG","","","","",""
"EXTC","Exp St: Edu & Teaching","1001","","","UG","","","","",""
"HORT-BS","BS Horticulture","1173","","","UG","","","","",""
"EXHF","Exploratory Studies: Health, Life, and Food Sciences","1001","","","UG","","","","",""
"CPSC-CSYZ-BS","BS Computer Science/Computing Systems","1873","","","UG","","","","",""
"HORT-HBMZ-BS","BS Horticulture/Horticultural Business Management","1173","","","UG","","","","",""
"EXCO","Exploratory Studies: Competitive Major CSU Online","1001","","","UG","","","","",""
"MUSC-MUTZ-BM","BM Music/Music Therapy","1778","","","UG","","","","",""
"CPSC-AIMZ-BS","BS Computer Science/AIMZ","1873","","","UG","","","","",""
"AGBI-BS","BS Agricultural Biology","1177","","","UG","","","","",""
"MATH-GNMZ-BS","BS Mathematics/General Mathematics","1874","","","UG","","","","",""
"EXNR","Exploratory Studies: Environmental and Natural Resources","1001","","","UG","","","","",""
"POLS-GPPZ-BA","BA Political Science/Global Politics and Policy","1782","","","UG","","","","",""
"MECH-ADMZ-BS","Mechanical Engineering/Advanced Manufacturing","1374","","","UG","","","","",""
"ECON-BA","BA Economics","1771","","","UG","","","","",""
"PSYC-MBBZ-BS","Psychology/Mind, Brain and Behavior","1876","","","UG","","","","",""
"EVHL-IDZ-PHD","PhD Environmental Health/Industrial Hygiene","1681","","","GR","","","","",""
"HDFS-ECPZ-BS","BS Human Development and Family Studies/Early Childhood Professions","1570","","","UG","","","","",""
"CYBF-DD-CT","CT Cybersecurity","1277","","","GR","","","","",""
"CPSC-HCCZ-BS","BS Computer Science/Human-Centered Computing","1873","","","UG","","","","",""
"HEMG-BS","BS Hospitality and Event Management","1571","","","UG","","","","",""
"USBS","Exploratory Studies: Life Science Interest","1001","","","UG","","","","",""
"FACS-IDSZ-BS","Family and Consumer Sciences/Interdisciplinary","1588","","","UG","","","","",""
"BCHM-ASBZ-BS","BS Biochemistry/ASBMB","1870","","","UG","","","","",""
"FSAN-MS","MS Food Science and Nutrition","1571","","","GR","","","","",""
"ELEG-PHD","PhD Electrical Engineering","1373","","","GR","","","","",""
"ILAR-BA","BA Interdisciplinary Liberal Arts","1701","","","UG","","","","",""
"DSCI-CSCZ-BS","BS Data Science/Computer Science","1801","","","UG","","","","",""
"MATH-MTEZ-BS","BS Mathematics/Mathematics Education","1874","","","UG","","","","",""
"CTCF-DD-CT","CT Communication & Technology","1785","","","GR","","","","",""
"CPEG-BS","BS Computer Engineering","1373","","","UG","","","","",""
"ECON-MA","Economics","","","","GR","","","","",""
"NAFS-NFTZ-BS","BS Nutrition and Food Science/Nutrition and Fitness","1571","","","UG","","","","",""
"INST-ASTZ-BA","BA International Studies/ASTZ","1701","","","UG","","","","",""
"CHEM-PHD","PhD Chemistry","1872","","","GR","","","","",""
"PHYS-PHD","PhD Physics","1875","","","GR","","","","",""
"NAFS-BS","BS Nutrition and Food Science","1571","","","UG","","","","",""
"ARTM-ELAZ-BF","BFA Art/ELAZ","1770","","","UG","","","","",""
"ANMG-MS","MS Animal Sciences","1171","","","GR","","","","",""
"FINC-MFIN","MFIN Master of Finance","1272","","","GR","","","","",""
"NAFS-DNMZ-BS","BS Nutrition and Food Science/Dietetics and Nutrition Management","1571","","","UG","","","","",""
"FMST-BS","BS Fermentation Science and Technology","1571","","","UG","","","","",""
"ELEG-MS","MS Electrical Engineering","1373","","","GR","","","","",""
"BUSA-REAZ-BS","BS Business Admin/REAZ","1201","","","UG","","","","",""
"HDFS-LEPZ-BS","Human Development and Family Studies/Leadership and Entrepreneurial Professions","1570","","","UG","","","","",""
"APAM-BS","BS Apparel and Merchandising","1574","","","UG","","","","",""
"GEOS-PHD","PhD Geosciences","1482","","","GR","","","","",""
"CLSC-MS","MS Clinical Sciences","1678","","","GR","","","","",""
"CIVE-PHD","PhD Civil Engineering","1372","","","GR","","","","",""
"AGED-AGLZ-BS","Agricultural Education/Agricultural Literacy","1172","","","UG","","","","",""
"ALCM-MLCM","Duplicate - MLCM Arts Leadership and Cultural Management","1725","","","GR","","","","",""
"FSAN-NTRZ-MS","MS Food Sci and Nutrition/NTRZ","1571","","","GR","","","","",""
"BIOM-MIDZ-BS","BS Biomedical Sciences/MIDZ","1680","","","UG","","","","",""
"PHYS-PHYZ-BS","BS Physics/Physics","1875","","","UG","","","","",""
"HIST-CMHZ-MA","MA History/CMHZ","1776","","","GR","","","","",""
"EXPE","Exploratory Studies: Physical Sciences and Engineering","1001","","","UG","","","","",""
"EXGS","Exp St: Glob & Soc Sci","1001","","","UG","","","","",""
"PHIL-BA","BA Philosophy","1781","","","UG","","","","",""
"ANTH-BIOZ-BA","BA Anthropology/Biological Anthropology","1787","","","UG","","","","",""
"OCTH-DOT","DOT Occupational Therapy","1573","","","GR","","","","",""
"BUSN-VM-MBA","MBA Business Administration","1201","","","GR","","","","",""
"ENGL-LITZ-BA","BA English/LITZ","1773","","","UG","","","","",""
"ARTM-MFA","MFA Art","1770","","","GR","","","","",""
"SAHE-MS","MS Student Affairs Higher Educ","1588","","","GR","","","","",""
"THTR-DTHZ-BA","Theatre/Design and Technology","1778","","","UG","","","","",""
"APAM-MDSZ-BS","BS Apparel & Merchandising/Merchandising","1574","","","UG","","","","",""
"ARTM-PNTZ-BF","BFA Art/Painting","1770","","","UG","","","","",""
"POLS-EPAZ-BA","BA Political Science/Environmental Politics and Policy","1782","","","UG","","","","",""
"PHIL-MA","MA Philosophy","1781","","","GR","","","","",""
"OCRS-PHD","PhD Occupation and Rehabilitation Science","1573","","","GR","","","","",""
"SOCI-PHD","PhD Sociology","1784","","","GR","","","","",""
"CPEG-MS","MS Computer Engineering","1373","","","GR","","","","",""
"ANTH-ARCZ-BA","BA Anthropology/Archaeology","1787","","","UG","","","","",""
"APIF-DD-CT","CT Applied Investments","1272","","","GR","","","","",""
"MSEN-PHD","PhD Materials Science and Engineering","1054","","","GR","","","","",""
"ANTH-HEVZ-MA","MA Anthropology/HEVZ","1787","","","GR","","","","",""
"CTMG-MS","MS Construction Management","1584","","","GR","","","","",""
"BMSC-APSZ-MS","MS Biomedical Sciences/APSZ","1680","","","GR","","","","",""
"PATH-DVM-PHD","PhD Pathology","1682","","","GR","","","","",""
"BUSA-SCMZ-BS","BS Business Admin/SCMZ","1201","","","UG","","","","",""
"BMSC-RPTZ-MS","MS Biomedical Sciences/Reproductive Technology","1680","","","GR","","","","",""
"TEXF-CT","Teaching in Extension","1172","","","GR","","","","",""
"ECOL-MS","MS Ecology","1021","","","GR","","","","",""
"BUSN-EV-MBA","MBA Business Administration","1201","","","GR","","","","",""
"BUSA-HRMZ-BS","BS Business Admin/HRMZ","1201","","","UG","","","","",""
"PBPA-IZ-MPPA","MPPA Public Policy and Administration/International Policy and Management","1782","","","GR","","","","",""
"NERO-BCNZ-BS","BS Neuroscience/Behavioral and Cognitive Neuroscience","1680","","","UG","","","","",""
"ENGL-WRLZ-BA","BA English/WRLZ","1773","","","UG","","","","",""
"NSCI-ZZ-MPSM","MPSM Natural Sciences/Zoo, Aquarium, and Animal Shelter Management","1801","","","GR","","","","",""
"ARTM-AREZ-BF","BFA Art/Art Education","1770","","","UG","","","","",""
"THTR-MUSZ-BA","BA Theatre/Musical Theatre","1778","","","UG","","","","",""
"ARTM-METZ-BF","BFA Art/Metalsmithing","1770","","","UG","","","","",""
"ENGL-TSLZ-MA","MA English/TESL/TEFL","1773","","","GR","","","","",""
"SOCR-MS","MS Soil and Crop Sciences","1170","","","GR","","","","",""
"SYSE-MS","MS Systems Engineering","1377","","","GR","","","","",""
"BUSN-IMZ-MBA","Business Administration MBA/Impact","1201","","","GR","","","","",""
"PHIL-GNPZ-BA","BA Philosophy/General Philosophy","1781","","","UG","","","","",""
"BLSC-BTNZ-BS","Biological Science/Botany","1878","","","UG","","","","",""
"ENGR-DAEZ-ME","ME Engineering/Aerospace Engineering","1301","","","GR","","","","",""
"ENGR-CIVZ-ME","ME Engineering/Civil Engineering","1301","","","GR","","","","",""
"BCHM-HMSZ-BS","BS Biochemistry/Health and Medical Sciences","1870","","","UG","","","","",""
"CNCD-SCCZ-MA","MA Counseling Career Dev/SCCZ","1588","","","GR","","","","",""
"NERO-BS","BS Neuroscience","1680","","","UG","","","","",""
"DSCI-MATZ-BS","BS Data Science/Mathematics","1801","","","UG","","","","",""
"BCHM-DTSZ-BS","BS Biochemistry/Data Science","1870","","","UG","","","","",""
"SOCR-PBTZ-BS","Soil and Crop Sciences/Plant Biotechnology","1170","","","UG","","","","",""
"CPSC-MCS","MCS Computer Science","1873","","","GR","","","","",""
"MECH-MS","MS Mechanical Engineering","1374","","","GR","","","","",""
"POLS-EPZ-PHD","PhD Political Science/EPAZ","1782","","","GR","","","","",""
"SOWK-PHD","PhD Social Work","1586","","","GR","","","","",""
"CPSC-DD-MS","Computer Science","1873","","","GR","","","","",""
"BLSC-MS","MS Biological Science","1878","","","GR","","","","",""
"EVHL-BS","Environmental Health","1681","","","UG","","","","",""
"BUSA-INSZ-BS","BS Business Admin/INSZ","1201","","","UG","","","","",""
"FRRS-FMGZ-BS","BS Forest and Rangeland Stewardship/Forest Management","1472","","","UG","","","","",""
"ADCP-MACP","MACP Addiction Counslng in Psy","1876","","","GR","","","","",""
"LSBM-BS","BS Livestock Business Managemt","1172","","","UG","","","","",""
"INEX-UG","International Exchange/Undergraduate","1001","","","UG","","","","",""
"ATSC-MS","MS Atmospheric Science","1371","","","GR","","","","",""
"MAST-DTZ-MAS","MAS Master of Applied Statistics/Statistical Science","1877","","","GR","","","","",""
"AGBU-BS","BS Agricultural Business","1172","","","UG","","","","",""
"POLS-PHD","PhD Political Science","1782","","","GR","","","","",""
"BMSC-PHD","PhD Biomedical Sciences","1680","","","GR","","","","",""
"ECHE-BS","BS Early Childhood Education","1570","","","UG","","","","",""
"ATSC-PHD","PhD Atmospheric Science","1371","","","GR","","","","",""
"STAT-PHD","PhD Statistics","1877","","","GR","","","","",""
"CHEM-FCHZ-BS","BS Chemistry/Forensic Chemistry","1872","","","UG","","","","",""
"CNCD-CCNZ-MA","MA Counseling Career Dev/CCNZ","1588","","","GR","","","","",""
"WSSS-WSSZ-BS","BS Watershed Science and Sustainability/Watershed Science","1476","","","UG","","","","",""
"BIAG-PLZ-PHD","PhD Bioagricultural Sci/PLPZ","1177","","","GR","","","","",""
"EHRS-ETZ-PHD","PhD Ed & Human Resrc Stds-EETZ","1588","","","GR","","","","",""
"WRSC-PHD","PhD Watershed Science","1476","","","GR","","","","",""
"JAMC-MS","MS Journalism & Media Communic","1785","","","GR","","","","",""
"EXPO","Exploratory Studies: CSU Online","1001","","","UG","","","","",""
"AGSC-TZ-MAGR","MAGR Agricultural Science/TDLZ","1101","","","GR","","","","",""
"MUSC-MTHZ-MM","MM Music/Music Therapy","1778","","","GR","","","","",""
"STAT-MS","MS Statistics","1877","","","GR","","","","",""
"CRWR-MFA","MFA Creative Writing","1773","","","GR","","","","",""
"INST-GBLZ-BA","BA International Studies/Global Studies","1701","","","UG","","","","",""
"CMCN-PHD","PhD Communication","1783","","","GR","","","","",""
"CPEG-EISZ-BS","Computer Engineering/Embedded and IoT Systems","1373","","","UG","","","","",""
"MUSC-INCZ-MM","MM Music/INCZ","1778","","","GR","","","","",""
"MCIN","Mlclr, Cellulr, & Intgrtv Nrsc","1001","","","GR","","","","",""
"MATH-AMTZ-BS","Mathematics/Applied Mathematics","1874","","","UG","","","","",""
"NSCI-PHSZ-BS","Natural Sciences/Physical Science","1801","","","UG","","","","",""
"CNCD-MHCZ-MA","MA Counseling Career Dev/MHCZ","1588","","","GR","","","","",""
"LLAC-LSPZ-MA","MA Languages, Literatures, and Cultures/Spanish","1774","","","GR","","","","",""
"DEMD-INTZ-MS","MS Design and Merchandising/Interior Design","1574","","","GR","","","","",""
"BIAG-ENZ-PHD","PhD Bioagricultural Sci/ENTZ","1177","","","GR","","","","",""
"AGBU-AECZ-BS","BS Agricultural Business/Agricultural Economics","1172","","","UG","","","","",""
"AGBU-FRCZ-BS","BS Agricultural Business/Farm and Ranch Management","1172","","","UG","","","","",""
"TRMG-MTM","Master of Tourism Management","1480","","","GR","","","","",""
"FRRS-BS","BS Forest and Rangeland Stewardship","1472","","","UG","","","","",""
"HDFS-LADZ-BS","BS Human Development and Family Studies/Leadership and Advocacy","1570","","","UG","","","","",""
"NRST-NZ-MNRS","MNRS Natural Resources Stewardship/Western Ranch Management and Ecosystem Stewar","1472","","","GR","","","","",""
"APPF-DD-CT","CT Applied Positive Psychology","1876","","","GR","","","","",""
"SPMG-MSM","Sport Management (not online)","1701","","","GR","","","","",""
"THTR-SDTZ-BA","BA Theatre/Sound Design and Technology","1778","","","UG","","","","",""
"CLSC-PHD","PhD Clinical Sciences","1678","","","GR","","","","",""
"FRSC-MS","MS Forest Sciences","1472","","","GR","","","","",""
"SOWK-ADSZ-BW","Social Work/Addictions Counseling","1586","","","UG","","","","",""
"SPMG-CDZ-MSM","MSM Sport Management/Sport Media and Communications","1701","","","GR","","","","",""
"CPEG-AESZ-BS","BS Computer Engineering/Aerospace Systems","1373","","","UG","","","","",""
"GEOG-BS","BS Geography","1787","","","UG","","","","",""
"CPSC-DAIZ-BS","Computer Science/Artificial Intelligence and Machine Learning","1873","","","UG","","","","",""
"CHEM-ECHZ-BS","Chemistry/Environmental Chemistry","1872","","","UG","","","","",""
"MUSC-COMZ-BM","BM Music/Composition","1778","","","UG","","","","",""
"BIAG-PLPZ-MS","MS Bioagricultural Sci/PLPZ","1177","","","GR","","","","",""
"MATH-ALSZ-BS","BS Mathematics/Actuarial Science","1874","","","UG","","","","",""
"LLAC-LGEZ-BA","BA Languages, Literatures, and Cultures/German","1774","","","UG","","","","",""
"MDCM-PHD","PhD Media Communication","1785","","","GR","","","","",""
"HDFS-MAFZ-MS","MS Human Dev & Fam Stdies/MAFZ","1570","","","GR","","","","",""
"BLSC-PHD","PhD Biological Science","1878","","","GR","","","","",""
"HAES-MS","MS Health and Exercise Science","1582","","","GR","","","","",""
"SYSE-PHD","PhD Systems Engineering","1377","","","GR","","","","",""
"NRST-EZ-MNRS","MNRS Natural Resources Stewardship/Ecological Restoration","1472","","","GR","","","","",""
"BUSN-IFIN-M","MBA Bus Admn/IMPZ/MFIN Finance","1201","","","GR","","","","",""
"BMBT-MPSM","ProfSciMstr's Biomanfct & Biot","1370","","","GR","","","","",""
"ELEG-BMEE-BS","BS Elec Eng/ELEZ/BS Biomed Eng","1373","","","UG","","","","",""
"GEOL-GEOZ-BS","BS Geology/GEOZ","1482","","","UG","","","","",""
"ACCY-RZ-MACC","Master of Accountancy/AARZ","1271","","","GR","","","","",""
"CAMB-PHD","PhD Cell and Molecular Biology","1055","","","GR","","","","",""
"NSCI-BS","BS Natural Sciences","1801","","","UG","","","","",""
"SOCR-PHD","PhD Soil and Crop Sciences","1170","","","GR","","","","",""
"CAMB-CBZ-PHD","PhD Cell & Molecular Bio/CBIZ","1055","","","GR","","","","",""
"BUSA-FPLZ-BS","BS Business Admin/FPLZ","1201","","","UG","","","","",""
"THTR-SDSZ-BA","BA Theatre/Set Design","1778","","","UG","","","","",""
"FRRS-FRFZ-BS","BS Forest and Rangeland Stewardship/Forest Fire Science","1472","","","UG","","","","",""
"HORT-PHD","PhD Horticulture","1173","","","GR","","","","",""
"GEOS-MS","MS Geosciences","1482","","","GR","","","","",""
"GEOL-EVGZ-BS","BS Geology/Environmental Geology","1482","","","UG","","","","",""
"NAFS-FSYZ-BS","Nutrition and Food Science/Food Systems","1571","","","UG","","","","",""
"PBPA-MZ-MPPA","MPPA Public Policy and Administration/Public Management","1782","","","GR","","","","",""
"FRRS-RFMZ-BS","Forest and Rangeland Stewardship/Rangeland and Forest Management","1472","","","UG","","","","",""
"BCHM-MS","MS Biochemistry","1870","","","GR","","","","",""
"ETST-COIZ-BA","BA Ethnic Studies/Community Organizing and Institutional Change","1790","","","UG","","","","",""
"BCHM-PHD","PhD Biochemistry","1870","","","GR","","","","",""
"HORT-HOSZ-BS","BS Horticulture/Horticultural Science","1173","","","UG","","","","",""
"MSEN-MS","MS Materials Science and Engineering","1054","","","GR","","","","",""
"FWCB-MS","MS Fish, Wildlife, and Conservation Biology","1474","","","GR","","","","",""
"EGOP","Engineering Open Option","1301","","","UG","","","","",""
"CHEG-MS","MS Chemical Engineering","1370","","","GR","","","","",""
"ENGR-CPGZ-ME","ME Engineering/Computer Engineering","1301","","","GR","","","","",""
"ENGR-BMEZ-ME","ME Engineering/Biomedical Engineering","1301","","","GR","","","","",""
"CPEG-BMEP-BS","BS Computer Eng/BS Biomed Engr","1373","","","UG","","","","",""
